Business Start Date,Business Close Date,Current License Status,Location Zip code
2017,,LICENSE ISSUED,95824
2017,,LICENSE ISSUED,95818
2017,,LICENSE ISSUED,95833
2017,,LICENSE ISSUED,95823
2017,,LICENSE ISSUED,95826
2017,,APPLICATION ACTIVE,95822
2017,,APPLICATION ACTIVE,95833
2017,,LICENSE ISSUED,95823
2017,,LICENSE ISSUED,95831
2017,,LICENSE ISSUED,95834
2017,,LICENSE ISSUED,95833
2017,,LICENSE ISSUED,95831
2017,,LICENSE ISSUED,95816
2017,,APPLICATION REJECTED,95824
2017,,LICENSE ISSUED,95835
2017,,LICENSE ISSUED,95831
2017,,APPLICATION PENDING,95816
2017,,APPLICATION ACTIVE,95823
2017,,LICENSE RENEWED,95819
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95818
2017,,APPLICATION CANCELLED,95833
2017,,LICENSE ISSUED,95823
2017,,LICENSE ISSUED,95835
2017,,LICENSE ISSUED,95814
2017,,LICENSE ISSUED,95825
2017,,LICENSE ISSUED,95833
2017,,LICENSE ISSUED,95833
2017,,LICENSE ISSUED,95831
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95822
2017,,APPLICATION ACTIVE,95814
2017,,LICENSE ISSUED,95814
2017,,LICENSE ISSUED,95817
2017,,LICENSE ISSUED,95831
2017,,LICENSE ISSUED,95834
2017,,LICENSE ISSUED,95823
2017,,LICENSE ISSUED,95822
2017,2017-03-13,LICENSE CANCELLED,95820
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95831
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95823
2017,,LICENSE ISSUED,95828
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95823
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95834
2017,,LICENSE ISSUED,95826
2017,,LICENSE ISSUED,95835
2017,,LICENSE ISSUED,95820
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95811
2017,,APPLICATION ACTIVE,95817
2017,,LICENSE ISSUED,95817
2017,,APPLICATION ACTIVE,95819
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95835
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95811
2017,,LICENSE ISSUED,95819
2017,,LICENSE ISSUED,95834
2017,,LICENSE ISSUED,95825
2017,2017-02-22,LICENSE CANCELLED,95833
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95814
2017,,LICENSE ISSUED,95820
2017,,LICENSE ISSUED,95833
2017,,APPLICATION PENDING,95814
2017,,LICENSE ISSUED,95826
2017,,LICENSE ISSUED,95833
2017,,APPLICATION ACTIVE,95831
2017,,LICENSE ISSUED,95831
2017,,LICENSE ISSUED,95835
2017,,APPLICATION ACTIVE,95831
2017,,LICENSE ISSUED,95814
2017,,APPLICATION ACTIVE,95819
2017,,APPLICATION ACTIVE,95811
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95834
2017,,LICENSE ISSUED,95819
2017,,LICENSE ISSUED,95834
2017,,LICENSE ISSUED,95816
2017,,LICENSE ISSUED,95825
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95833
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95818
2017,,LICENSE ISSUED,95824
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95817
2017,,LICENSE ISSUED,95815
2017,,LICENSE EXPIRED,95838
2017,,LICENSE RENEWED,95811
2017,,LICENSE ISSUED,95814
2017,,APPLICATION ACTIVE,95833
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95824
2017,,LICENSE ISSUED,95818
2017,,LICENSE ISSUED,95833
2017,,APPLICATION PENDING,95814
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95826
2017,2017-04-04,LICENSE CANCELLED,95826
2017,,LICENSE ISSUED,95820
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95817
2017,,LICENSE ISSUED,95838
2017,,LICENSE ISSUED,95825
2017,,LICENSE ISSUED,95815
2017,,APPLICATION ACTIVE,95834
2017,,APPLICATION ACTIVE,95834
2017,,LICENSE ISSUED,95815
2017,,LICENSE ISSUED,95822
2017,,LICENSE ISSUED,95820
2017,,LICENSE ISSUED,95826
2017,,LICENSE ISSUED,95811
2017,,LICENSE ISSUED,95838
2017,,APPLICATION CANCELLED,95822
